#TAG,Program,Short description of the program
,vim,"the best text editor of all time"
,neovim,"improved version of vim"
,zathura,"minimal pdf viewer"
,zathura-pdf-mupdf,"support for pdf files"
,nsxiv,"an image viewer"
,mpv,"media/video player"
,fff,"the fucking fast file-manager"
,gimp,"image editing program"
,xdotool,"bind commands to keypresses"
,xclip,"the system clipboard"
,xwallpaper,"sets the wallpaper"
,chromium,"a Google browser that isn't Chrome"
,transmission,"a utility for downloading torrents"
,dunst,"a notification daemon"
,libnotify,"enables notifications on your system"
G,https://github.com/x1nigo/dotfiles.git,"my configuration files"
G,https://github.com/x1nigo/bsdfiles.git,"my bsd specific files"
